Id,Location_ID,Zones,Transportation_Type,3 or more vehicles available,2 vehicles available,1 vehicle available,No vehicle available,Male,Female,16 to 19 years,20 to 24 years,25 to 44 years,45 to 54 years,55 to 59 years,60 years and over,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings $35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more"
C1,3,Allerton/Pelham Gardens,carpooled,123,330,268,179,420,480,53,35,332,179,108,193,4,7,264,76,238,38,17,185
C2,4,Alphabet City,carpooled,0,26,3,50,34,45,0,0,49,10,19,1,47,0,0,3,4,28,0,40
C3,5,Arden Heights,carpooled,486,296,83,38,492,411,0,26,418,172,115,172,28,24,12,163,125,109,73,350
C4,6,Arrochar/Fort Wadsworth,carpooled,173,284,234,31,501,221,11,52,261,191,84,123,54,38,123,135,43,93,20,242
C5,7,Astoria,carpooled,86,159,647,206,481,617,1,35,576,223,147,116,23,62,89,176,147,218,89,263
C6,8,Astoria Park,carpooled,0,33,23,12,0,68,0,23,33,0,12,0,77,0,0,33,0,0,0,12
C7,9,Auburndale,carpooled,157,291,471,6,440,485,47,29,331,261,90,167,71,41,148,122,147,118,40,232
C8,10,Baisley Park,carpooled,219,283,302,70,564,310,21,65,323,338,51,76,67,71,76,174,223,135,29,95
C9,11,Bath Beach,carpooled,28,107,265,90,202,288,17,40,242,111,45,35,0,36,86,75,30,51,41,104
C10,13,Battery Park City,carpooled,0,0,0,68,25,43,0,0,68,0,0,0,161,0,0,0,0,0,0,68
C11,14,Bay Ridge,carpooled,322,394,810,167,815,879,16,106,720,309,173,370,52,36,70,187,172,201,91,776
C12,15,Bay Terrace/Fort Totten,carpooled,127,286,277,265,512,443,0,46,296,313,94,206,316,50,101,94,88,80,84,406
C13,16,Bayside,carpooled,480,1078,916,85,1393,1166,43,76,946,686,407,401,79,200,326,277,433,443,158,406
C14,17,Bedford,carpooled,32,33,377,202,369,275,0,52,413,143,5,31,125,123,86,36,48,78,56,138
C15,18,Bedford Park,carpooled,17,79,445,331,429,443,11,87,429,190,91,64,142,27,227,148,172,127,0,46
C16,19,Bellerose,carpooled,406,776,248,153,728,855,0,163,549,357,268,246,21,197,184,166,413,128,26,327
C17,20,Belmont,carpooled,65,57,105,137,195,169,0,10,137,84,75,58,206,58,123,21,96,10,0,35
C18,21,Bensonhurst East,carpooled,237,663,928,287,1064,1051,21,51,947,610,304,182,278,146,572,343,306,218,61,263
C19,22,Bensonhurst West,carpooled,196,450,1600,638,1728,1156,131,144,1223,797,394,195,176,187,514,737,515,233,13,407
C20,23,Bloomfield/Emerson Hill,carpooled,516,906,586,0,992,1016,10,38,1081,375,335,169,0,61,311,198,581,164,166,351
C21,24,Bloomingdale,carpooled,142,0,0,110,158,94,0,3,28,142,43,36,68,3,0,0,20,142,16,71
C22,25,Boerum Hill,carpooled,0,9,172,7,98,90,0,63,118,0,0,7,280,0,5,0,8,69,7,31
C23,26,Borough Park,carpooled,63,288,1479,776,1582,1024,102,186,1372,438,86,422,0,429,664,328,64,286,112,443
C24,27,Breezy Point/Fort Tilden/Riis Beach,carpooled,76,51,27,0,54,100,0,6,123,0,0,25,10,0,0,14,73,0,30,37
C25,28,Briarwood/Jamaica Hills,carpooled,85,170,227,5,249,238,0,24,302,90,31,40,66,16,98,26,77,92,72,96
C26,29,Brighton Beach,carpooled,38,116,206,115,338,137,24,44,135,93,59,120,0,16,16,149,38,24,73,93
C27,32,Bronxdale,carpooled,124,157,144,132,245,312,0,24,294,145,4,90,25,52,40,111,152,112,62,28
C28,33,Brooklyn Heights,carpooled,0,19,109,128,95,161,0,21,117,79,0,39,0,0,0,0,23,10,36,162
