Geographic Area Name,Zone,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings!!$35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more",Transportation_type
Census Tract 2,Soundview/Castle Hill,168,0,34,49,247,54,31,183,drove_alone
Census Tract 4,Soundview/Castle Hill,15,72,177,282,394,60,151,475,drove_alone
Census Tract 16,Soundview/Castle Hill,67,0,115,164,183,82,55,214,drove_alone
Census Tract 19.01,Mott Haven/Port Morris,29,0,32,11,67,75,0,0,drove_alone
Census Tract 19.02,Mott Haven/Port Morris,0,0,0,37,5,13,0,10,drove_alone
Census Tract 20.01,Soundview/Castle Hill,12,0,75,68,0,0,31,36,drove_alone
Census Tract 20.02,Soundview/Castle Hill,0,0,86,172,0,0,6,302,drove_alone
Census Tract 23,Mott Haven/Port Morris,0,0,14,0,32,58,13,41,drove_alone
Census Tract 25,Mott Haven/Port Morris,12,25,0,25,55,0,0,0,drove_alone
Census Tract 27.01,Mott Haven/Port Morris,0,0,0,0,27,31,0,10,drove_alone
Census Tract 27.02,Mott Haven/Port Morris,70,0,0,19,26,0,0,2,drove_alone
Census Tract 28,Soundview/Castle Hill,71,36,67,344,139,191,22,109,drove_alone
Census Tract 31,Mott Haven/Port Morris,0,28,31,0,23,22,6,30,drove_alone
Census Tract 33,Mott Haven/Port Morris,0,0,44,0,77,16,0,0,drove_alone
Census Tract 35,Mott Haven/Port Morris,13,0,26,89,31,88,0,50,drove_alone
Census Tract 37,Mott Haven/Port Morris,0,0,0,14,13,0,0,0,drove_alone
Census Tract 38,Soundview/Castle Hill,56,0,38,54,25,21,39,54,drove_alone
Census Tract 39,Mott Haven/Port Morris,18,0,69,0,27,0,0,58,drove_alone
Census Tract 40.01,Soundview/Bruckner,0,0,30,16,63,61,32,36,drove_alone
Census Tract 41,Mott Haven/Port Morris,0,0,77,0,67,0,0,14,drove_alone
Census Tract 42,Soundview/Castle Hill,63,48,29,219,174,255,0,258,drove_alone
Census Tract 43,Mott Haven/Port Morris,0,26,43,0,85,104,50,17,drove_alone
Census Tract 44,Soundview/Bruckner,0,0,38,6,10,41,9,29,drove_alone
Census Tract 46,Soundview/Castle Hill,0,0,12,26,38,47,15,26,drove_alone
Census Tract 48,Soundview/Bruckner,20,30,111,99,75,40,0,61,drove_alone
Census Tract 50.01,Soundview/Bruckner,22,10,30,101,33,33,14,42,drove_alone
Census Tract 50.02,Soundview/Bruckner,0,0,57,32,34,145,0,52,drove_alone
Census Tract 51,Mott Haven/Port Morris,30,0,47,0,66,0,0,0,drove_alone
Census Tract 52,Soundview/Bruckner,0,0,5,39,5,0,18,5,drove_alone
Census Tract 53,University Heights/Morris Heights,19,10,0,45,44,51,0,0,drove_alone
Census Tract 54,West Farms/Bronx River,20,19,71,11,29,149,24,17,drove_alone
Census Tract 56,West Farms/Bronx River,0,12,0,25,34,12,21,66,drove_alone
Census Tract 59.02,East Concourse/Concourse Village,27,0,77,21,71,29,25,57,drove_alone
Census Tract 60,Crotona Park East,11,11,9,0,12,40,0,22,drove_alone
Census Tract 61,East Concourse/Concourse Village,45,14,0,44,176,75,54,67,drove_alone
Census Tract 62,West Farms/Bronx River,0,78,0,52,109,83,0,14,drove_alone
Census Tract 63.01,West Concourse,8,178,38,20,60,38,0,147,drove_alone
Census Tract 64,West Farms/Bronx River,0,0,50,66,57,50,20,82,drove_alone
Census Tract 65,Melrose South,43,0,8,0,33,0,18,26,drove_alone
Census Tract 67,Melrose South,0,0,0,25,0,93,0,0,drove_alone
Census Tract 68,Soundview/Bruckner,0,0,0,23,0,5,11,69,drove_alone
Census Tract 69,Melrose South,23,0,18,106,24,220,0,46,drove_alone
Census Tract 70,Soundview/Bruckner,27,0,20,46,32,109,0,132,drove_alone
Census Tract 71,Melrose South,0,9,32,109,81,40,0,90,drove_alone
Census Tract 72,Soundview/Bruckner,49,22,196,64,144,84,48,94,drove_alone
Census Tract 73,Melrose South,9,39,0,11,0,0,0,0,drove_alone
Census Tract 74,Soundview/Castle Hill,48,32,24,75,60,16,39,74,drove_alone
Census Tract 75,Melrose South,5,0,42,77,150,23,29,49,drove_alone
Census Tract 76,West Farms/Bronx River,31,0,67,46,58,45,47,121,drove_alone
Census Tract 77,Melrose South,15,0,54,11,16,0,16,0,drove_alone
Census Tract 78,Westchester Village/Unionport,71,10,112,88,86,123,103,241,drove_alone
Census Tract 79,Melrose South,0,0,0,197,23,18,0,49,drove_alone
Census Tract 83,Longwood,0,57,0,0,376,63,26,0,drove_alone
Census Tract 84,Soundview/Castle Hill,0,0,69,48,30,62,24,197,drove_alone
Census Tract 85,Longwood,0,7,5,45,14,36,0,109,drove_alone
Census Tract 86,Soundview/Castle Hill,0,0,29,86,105,0,18,286,drove_alone
Census Tract 87,Longwood,8,41,14,20,25,51,38,30,drove_alone
Census Tract 89,Hunts Point,0,0,26,0,56,53,0,0,drove_alone
Census Tract 90,Schuylerville/Edgewater Park,75,49,8,115,29,0,21,131,drove_alone
Census Tract 92,Westchester Village/Unionport,98,23,153,154,241,148,0,84,drove_alone
Census Tract 93.01,Hunts Point,0,38,99,21,81,33,71,57,drove_alone
Census Tract 96,Schuylerville/Edgewater Park,6,23,75,53,110,39,64,17,drove_alone
Census Tract 98,Westchester Village/Unionport,160,18,52,12,36,67,62,155,drove_alone
Census Tract 115.02,Hunts Point,0,49,30,9,43,72,0,22,drove_alone
Census Tract 117.01,Hunts Point,21,0,0,0,0,4,0,0,drove_alone
Census Tract 118,Hunts Point,151,43,57,260,309,137,84,533,drove_alone
Census Tract 119,Hunts Point,0,0,18,39,110,268,0,43,drove_alone
Census Tract 121.01,Morrisania/Melrose,0,28,34,13,111,17,5,113,drove_alone
Census Tract 121.02,Hunts Point,7,39,0,9,29,17,0,0,drove_alone
Census Tract 123,Morrisania/Melrose,7,53,176,146,51,0,0,16,drove_alone
Census Tract 125,Morrisania/Melrose,0,42,91,32,53,98,0,80,drove_alone
Census Tract 127.01,Hunts Point,31,0,49,4,36,43,0,18,drove_alone
Census Tract 129.01,Longwood,13,0,15,12,109,23,0,23,drove_alone
Census Tract 130,Schuylerville/Edgewater Park,97,8,84,65,29,42,53,109,drove_alone
Census Tract 131,Longwood,0,0,86,123,197,160,14,39,drove_alone
Census Tract 132,Schuylerville/Edgewater Park,78,127,0,51,193,359,110,970,drove_alone
Census Tract 133,Morrisania/Melrose,0,0,145,58,128,104,0,122,drove_alone
Census Tract 135,Morrisania/Melrose,0,0,13,0,145,123,0,59,drove_alone
Census Tract 138,Schuylerville/Edgewater Park,54,34,25,72,129,85,70,389,drove_alone
Census Tract 141,Morrisania/Melrose,23,32,0,114,58,29,68,119,drove_alone
Census Tract 143,East Concourse/Concourse Village,0,0,41,0,72,0,0,3,drove_alone
Census Tract 144,Schuylerville/Edgewater Park,12,22,87,52,46,0,23,78,drove_alone
Census Tract 145,Claremont/Bathgate,0,0,43,6,0,213,0,0,drove_alone
Census Tract 147.01,Claremont/Bathgate,63,0,68,35,0,72,0,0,drove_alone
Census Tract 147.02,Claremont/Bathgate,27,0,52,35,265,0,0,0,drove_alone
Census Tract 149,Morrisania/Melrose,36,0,88,45,33,79,26,46,drove_alone
Census Tract 151,Morrisania/Melrose,30,0,76,69,37,24,14,0,drove_alone
Census Tract 152,Schuylerville/Edgewater Park,28,22,44,63,131,36,43,180,drove_alone
Census Tract 153,Crotona Park East,19,42,0,34,47,55,0,0,drove_alone
Census Tract 155,Crotona Park East,24,22,49,51,35,23,0,0,drove_alone
Census Tract 157,Crotona Park East,0,0,31,59,77,183,19,28,drove_alone
Census Tract 158,Schuylerville/Edgewater Park,21,0,38,40,4,87,13,95,drove_alone
Census Tract 159,Hunts Point,26,21,6,21,30,165,0,18,drove_alone
