Geographic Area Name,Zone,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,Transportation_type
Census Tract 2,Soundview/Castle Hill,47,295,370,54,drove_alone
Census Tract 4,Soundview/Castle Hill,0,562,503,563,drove_alone
Census Tract 16,Soundview/Castle Hill,85,478,169,148,drove_alone
Census Tract 19.01,Mott Haven/Port Morris,106,108,0,0,drove_alone
Census Tract 19.02,Mott Haven/Port Morris,6,59,0,0,drove_alone
Census Tract 20.01,Soundview/Castle Hill,75,147,0,0,drove_alone
Census Tract 20.02,Soundview/Castle Hill,0,560,6,0,drove_alone
Census Tract 23,Mott Haven/Port Morris,0,96,20,42,drove_alone
Census Tract 25,Mott Haven/Port Morris,45,72,0,0,drove_alone
Census Tract 27.01,Mott Haven/Port Morris,0,47,21,0,drove_alone
Census Tract 27.02,Mott Haven/Port Morris,20,78,19,0,drove_alone
Census Tract 28,Soundview/Castle Hill,22,472,433,52,drove_alone
Census Tract 31,Mott Haven/Port Morris,11,107,22,0,drove_alone
Census Tract 33,Mott Haven/Port Morris,0,117,20,0,drove_alone
Census Tract 35,Mott Haven/Port Morris,39,248,10,0,drove_alone
Census Tract 37,Mott Haven/Port Morris,22,5,0,0,drove_alone
Census Tract 38,Soundview/Castle Hill,0,151,115,21,drove_alone
Census Tract 39,Mott Haven/Port Morris,0,172,0,0,drove_alone
Census Tract 40.01,Soundview/Bruckner,4,111,91,32,drove_alone
Census Tract 41,Mott Haven/Port Morris,0,158,0,0,drove_alone
Census Tract 42,Soundview/Castle Hill,0,809,103,134,drove_alone
Census Tract 43,Mott Haven/Port Morris,30,234,41,20,drove_alone
Census Tract 44,Soundview/Bruckner,6,101,26,0,drove_alone
Census Tract 46,Soundview/Castle Hill,0,137,27,0,drove_alone
Census Tract 48,Soundview/Bruckner,90,217,64,65,drove_alone
Census Tract 50.01,Soundview/Bruckner,0,243,25,17,drove_alone
Census Tract 50.02,Soundview/Bruckner,51,210,59,0,drove_alone
Census Tract 51,Mott Haven/Port Morris,12,131,0,0,drove_alone
Census Tract 52,Soundview/Bruckner,10,39,23,0,drove_alone
Census Tract 53,University Heights/Morris Heights,0,169,0,0,drove_alone
Census Tract 54,West Farms/Bronx River,10,241,89,0,drove_alone
Census Tract 56,West Farms/Bronx River,0,139,20,11,drove_alone
Census Tract 59.02,East Concourse/Concourse Village,35,159,99,14,drove_alone
Census Tract 60,Crotona Park East,11,15,22,57,drove_alone
Census Tract 61,East Concourse/Concourse Village,86,327,54,8,drove_alone
Census Tract 62,West Farms/Bronx River,0,236,100,0,drove_alone
Census Tract 63.01,West Concourse,19,434,36,0,drove_alone
Census Tract 64,West Farms/Bronx River,22,149,59,95,drove_alone
Census Tract 65,Melrose South,0,128,0,0,drove_alone
Census Tract 67,Melrose South,45,25,48,0,drove_alone
Census Tract 68,Soundview/Bruckner,11,92,5,0,drove_alone
Census Tract 69,Melrose South,0,361,36,40,drove_alone
Census Tract 70,Soundview/Bruckner,20,229,117,0,drove_alone
Census Tract 71,Melrose South,0,267,94,0,drove_alone
Census Tract 72,Soundview/Bruckner,82,291,189,139,drove_alone
Census Tract 73,Melrose South,0,20,0,39,drove_alone
Census Tract 74,Soundview/Castle Hill,43,156,159,10,drove_alone
Census Tract 75,Melrose South,29,294,52,0,drove_alone
Census Tract 76,West Farms/Bronx River,59,277,59,20,drove_alone
Census Tract 77,Melrose South,0,65,47,0,drove_alone
Census Tract 78,Westchester Village/Unionport,0,257,478,99,drove_alone
Census Tract 79,Melrose South,139,81,67,0,drove_alone
Census Tract 83,Longwood,101,205,216,0,drove_alone
Census Tract 84,Soundview/Castle Hill,0,117,192,121,drove_alone
Census Tract 85,Longwood,0,163,53,0,drove_alone
Census Tract 86,Soundview/Castle Hill,18,151,185,170,drove_alone
Census Tract 87,Longwood,25,121,74,7,drove_alone
Census Tract 89,Hunts Point,15,115,5,0,drove_alone
Census Tract 90,Schuylerville/Edgewater Park,26,185,195,22,drove_alone
Census Tract 92,Westchester Village/Unionport,99,451,257,94,drove_alone
Census Tract 93.01,Hunts Point,0,395,5,0,drove_alone
Census Tract 96,Schuylerville/Edgewater Park,59,110,148,70,drove_alone
Census Tract 98,Westchester Village/Unionport,0,315,198,49,drove_alone
Census Tract 115.02,Hunts Point,10,94,55,66,drove_alone
Census Tract 117.01,Hunts Point,0,21,0,4,drove_alone
Census Tract 118,#N/A,0,264,955,360,drove_alone
Census Tract 119,Hunts Point,120,283,75,0,drove_alone
Census Tract 121.01,Morrisania/Melrose,40,170,79,32,drove_alone
Census Tract 121.02,Hunts Point,11,90,0,0,drove_alone
Census Tract 123,Morrisania/Melrose,55,270,0,124,drove_alone
Census Tract 125,Morrisania/Melrose,23,312,44,17,drove_alone
Census Tract 127.01,Hunts Point,3,154,0,24,drove_alone
Census Tract 129.01,Longwood,0,124,71,0,drove_alone
Census Tract 130,Schuylerville/Edgewater Park,136,144,125,82,drove_alone
Census Tract 131,Longwood,113,265,139,102,drove_alone
Census Tract 132,Schuylerville/Edgewater Park,30,401,772,688,drove_alone
Census Tract 133,Morrisania/Melrose,86,411,60,0,drove_alone
Census Tract 135,Morrisania/Melrose,13,254,73,0,drove_alone
Census Tract 138,Schuylerville/Edgewater Park,18,355,413,72,drove_alone
Census Tract 141,Morrisania/Melrose,64,336,43,0,drove_alone
Census Tract 143,East Concourse/Concourse Village,0,108,8,0,drove_alone
Census Tract 144,Schuylerville/Edgewater Park,79,154,0,87,drove_alone
Census Tract 145,Claremont/Bathgate,36,226,0,0,drove_alone
Census Tract 147.01,Claremont/Bathgate,72,166,0,0,drove_alone
Census Tract 147.02,Claremont/Bathgate,62,317,0,0,drove_alone
Census Tract 149,Morrisania/Melrose,30,198,30,95,drove_alone
