ID,Location_ID,Zones,Transportation_Type,3 or more vehicles available,2 vehicles available,1 vehicle available,No vehicle available,Male,Female,16 to 19 years,20 to 24 years,25 to 44 years,45 to 54 years,55 to 59 years,60 years and over,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings $35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more"
P1,3,Allerton/Pelham Gardens,public_transport,555,1110,1950,1489,2264,2841,81,475,2610,904,535,500,307,209,694,924,1010,636,366,868
P2,4,Alphabet City,public_transport,32,158,987,4549,2702,3023,8,634,3319,826,417,520,144,432,395,737,900,695,363,1894
P3,5,Arden Heights,public_transport,649,740,584,69,946,1096,7,182,846,467,237,303,156,65,34,150,193,294,154,1008
P4,6,Arrochar/Fort Wadsworth,public_transport,310,700,1268,397,1337,1338,35,238,966,632,426,378,1403,79,512,191,197,252,457,831
P5,7,Astoria,public_transport,148,1206,7791,18927,14543,13527,151,1890,18491,3757,1924,1853,124,784,2778,2807,3489,4501,2471,9831
P6,8,Astoria Park,public_transport,0,0,455,1766,773,1448,13,282,1079,364,242,242,408,13,455,395,240,571,160,262
P7,9,Auburndale,public_transport,381,1062,1012,488,1536,1407,22,319,1331,798,266,207,768,130,466,349,298,246,265,781
P8,10,Baisley Park,public_transport,686,1468,3194,1961,2909,4401,178,719,3165,1482,762,1004,741,409,1131,1250,1301,727,493,1231
P9,11,Bath Beach,public_transport,217,1036,3191,2890,3676,3660,130,570,3549,1854,481,754,108,358,1134,628,1359,845,342,1929
P10,13,Battery Park City,public_transport,0,137,1666,2769,2095,2478,0,174,2276,1573,197,355,1435,32,87,195,149,442,261,3294
P11,14,Bay Ridge,public_transport,418,2123,7821,9794,10282,9874,247,1438,10100,3650,1991,2730,166,916,1600,2207,2440,2337,1299,7924
P12,15,Bay Terrace/Fort Totten,public_transport,347,794,795,193,1122,1006,28,126,1133,440,132,269,503,96,140,118,199,286,126,997
P13,16,Bayside,public_transport,843,1911,2718,704,2923,3254,89,420,3064,1332,612,660,1510,317,566,553,796,770,394,2278
P14,17,Bedford,public_transport,376,1104,5235,13770,8785,11697,188,1961,13244,3090,1245,753,1923,1491,2083,2823,3147,2819,1367,5242
P15,18,Bedford Park,public_transport,98,512,3779,11818,8470,7738,491,1846,7734,3272,1477,1391,228,1635,3496,3272,2648,1528,652,1059
P16,19,Bellerose,public_transport,467,1093,1534,339,1572,1861,92,244,1498,732,451,415,873,189,297,216,131,805,364,1204
P17,20,Belmont,public_transport,0,71,1251,4590,2925,2987,176,873,2877,1172,543,270,1586,779,896,1486,1147,391,80,261
P18,21,Bensonhurst East,public_transport,600,2347,6685,6824,7787,8671,130,1271,8320,3343,1533,1865,2082,1197,2601,2170,2697,1967,809,3432
P19,22,Bensonhurst West,public_transport,682,2376,7923,9698,10283,10395,298,1892,9795,4387,2191,2112,304,1510,3987,3118,2738,2871,835,3537
P20,23,Bloomfield/Emerson Hill,public_transport,902,1501,1441,284,2192,1936,109,251,1805,565,363,1035,149,151,131,552,586,408,146,1636
P21,24,Bloomingdale,public_transport,365,63,726,4503,2694,2964,27,692,3011,933,320,672,462,59,470,623,978,620,365,2395
