"Dim_pickup_time_id";"Dim_Dropoff_time_id";"Dim_Pickup_Location_id";"Dim_Dropoff_Location_id";"Dim_Business_id";"Dim_Weather_id";"Dim_carpooled_id";"Dim_DriveAlone_id";"Dim_PublicTransport";"Trip_Distance";"Tip_amount";"Total_amount"
"T1";"T30";127;119;"B1";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B10";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B13";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B22";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B3";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B30";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B4";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B5";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B6";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1";"T30";127;119;"B8";"W5";"C108";"P109";"D110";7.4;0.0;27.8
"T1021";"T1031";75;151;"B1";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B13";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B15";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B19";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B3";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B5";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B6";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";75;151;"B8";"W4";"C67";"P67";"D67";1.31;3.08;18.48
"T1021";"T1031";95;95;"B1";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B10";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B12";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B13";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B20";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B21";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B3";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B4";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B5";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B7";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T1021";"T1031";95;95;"B8";"W4";"C84";"P84";"D84";0.87;0.0;14.0
"T10501";"T10503";74;75;"B1";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B13";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B21";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B24";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B3";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B5";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B6";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B7";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10503";74;75;"B8";"W3";"C66";"P66";"D66";0.77;0.0;7.3
"T10501";"T10506";74;43;"B1";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B13";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B21";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B24";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B3";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B5";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B6";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B7";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10506";74;43;"B8";"W3";"C66";"P66";"D66";1.3;1.85;11.25
"T10501";"T10510";74;75;"B1";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B13";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B21";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B24";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B3";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B5";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B6";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B7";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10510";74;75;"B8";"W3";"C66";"P66";"D66";1.78;2.58;15.48
"T10501";"T10533";215;86;"B13";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B15";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B18";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B24";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B3";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B5";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10501";"T10533";215;86;"B8";"W3";"C188";"P190";"D190";7.93;0.0;40.2
"T10561";"T10594";95;95;"B1";"W3";"C84";"P84";"D84";4.0;6.35;38.15
"T10561";"T10594";95;95;"B10";"W3";"C84";"P84";"D84";4.0;6.35;38.15
"T10561";"T10594";95;95;"B12";"W3";"C84";"P84";"D84";4.0;6.35;38.15
"T10561";"T10594";95;95;"B13";"W3";"C84";"P84";"D84";4.0;6.35;38.15
"T10561";"T10594";95;95;"B20";"W3";"C84";"P84";"D84";4.0;6.35;38.15
